time,open,high,low,close,volume
2021-04-23 12:00:00,237.73,238.95,229.56,230.54,124309.24107
2021-04-23 13:00:00,230.41,233.38,225.6,229.6,128519.15527
2021-04-23 14:00:00,229.49,236.86,228.38,235.62,71438.39317
2021-04-23 15:00:00,235.7,236.56,229.22,234.68,67726.3408
2021-04-23 16:00:00,234.56,237.0,230.94,234.55,70174.45566
2021-04-23 17:00:00,234.62,237.06,231.87,234.67,50491.35963
2021-04-23 18:00:00,234.67,240.0,233.0,239.88,71105.82937
2021-04-23 19:00:00,239.86,241.5,238.07,240.26,40296.17604
2021-04-23 20:00:00,240.39,242.21,234.8,235.06,73225.00334
2021-04-23 21:00:00,234.89,238.26,231.53,232.14,51609.42119
2021-04-23 22:00:00,232.14,236.0,232.11,235.62,25953.11449
2021-04-23 23:00:00,235.62,242.0,235.62,241.31,40295.92368
2021-04-24 00:00:00,241.31,241.41,231.82,232.23,76605.44625
2021-04-24 01:00:00,232.2,236.0,231.87,233.34,33793.05876
2021-04-24 02:00:00,233.32,235.0,227.96,233.08,64441.62745
2021-04-24 03:00:00,233.12,236.95,233.09,234.07,33717.1191
2021-04-24 04:00:00,234.07,235.29,231.62,233.88,36834.6935
2021-04-24 05:00:00,233.97,236.65,232.59,235.14,33013.68801
2021-04-24 06:00:00,235.18,236.53,232.84,233.04,47582.46629
2021-04-24 07:00:00,233.01,233.06,229.69,231.41,43774.91209
2021-04-24 08:00:00,231.39,235.28,230.36,231.46,62425.80496
2021-04-24 09:00:00,231.42,233.25,230.1,230.99,38082.51478
2021-04-24 10:00:00,231.02,231.03,222.82,222.84,106261.12233
2021-04-24 11:00:00,222.83,227.5,220.34,223.86,84703.51952
2021-04-24 12:00:00,223.84,229.61,222.18,227.36,76172.42577
2021-04-24 13:00:00,227.46,229.17,226.01,227.86,40085.1993
2021-04-24 14:00:00,227.87,227.99,223.97,225.83,49126.67695
2021-04-24 15:00:00,225.83,232.47,222.65,231.29,73540.43938
2021-04-24 16:00:00,231.33,232.33,227.37,227.49,35277.50626
2021-04-24 17:00:00,227.53,228.49,223.94,228.03,45788.40286
2021-04-24 18:00:00,228.07,231.6,226.74,228.72,40087.75118
2021-04-24 19:00:00,228.75,231.89,228.75,229.26,25115.01801
2021-04-24 20:00:00,229.34,231.95,227.51,231.47,26133.64532
2021-04-24 21:00:00,231.47,231.99,229.3,230.87,16451.31628
2021-04-24 22:00:00,230.87,231.91,226.12,226.55,33513.3671
2021-04-24 23:00:00,226.55,228.99,223.82,224.75,30440.2974
2021-04-25 00:00:00,224.76,228.36,222.81,225.32,42893.95713
2021-04-25 01:00:00,225.3,229.04,225.3,227.67,23736.13047
2021-04-25 02:00:00,227.6,231.5,227.59,230.1,35877.17589
2021-04-25 03:00:00,230.05,230.47,224.02,224.05,37145.40168
2021-04-25 04:00:00,224.14,224.84,224.0,224.79,207.22181
2021-04-25 08:00:00,224.86,228.22,223.8,226.16,17906.31011
2021-04-25 09:00:00,226.16,226.99,221.46,225.02,59029.13634
2021-04-25 10:00:00,225.02,228.0,223.01,224.86,45261.11327
2021-04-25 11:00:00,224.87,227.71,224.5,227.05,25419.75522
2021-04-25 12:00:00,227.05,231.04,226.41,229.83,41491.25445
2021-04-25 13:00:00,229.85,232.08,228.12,229.19,49633.63413
2021-04-25 14:00:00,229.12,234.44,227.99,233.24,57251.62677
2021-04-25 15:00:00,233.37,235.8,232.14,234.43,57803.4131
2021-04-25 16:00:00,234.42,235.78,230.87,233.09,47951.69271
2021-04-25 17:00:00,233.13,233.43,229.2,230.14,32587.87623
2021-04-25 18:00:00,230.12,230.73,225.0,226.25,41906.61943
2021-04-25 19:00:00,226.26,227.36,223.58,223.79,25520.3734
2021-04-25 20:00:00,223.78,225.86,217.01,218.87,69533.42463
2021-04-25 21:00:00,218.88,220.1,210.73,215.52,105590.72497
2021-04-25 22:00:00,215.53,220.64,214.87,219.79,62874.9745
2021-04-25 23:00:00,219.78,224.6,218.36,223.88,48838.40356
2021-04-26 00:00:00,223.9,234.49,221.24,232.5,97979.89023
2021-04-26 01:00:00,232.51,237.92,230.46,237.08,67470.93416
2021-04-26 02:00:00,237.17,239.89,233.67,238.79,75413.2315
2021-04-26 03:00:00,238.78,240.39,235.73,238.35,45496.03263
2021-04-26 04:00:00,238.37,240.29,237.26,238.04,41393.86169
2021-04-26 05:00:00,238.1,241.96,235.96,241.88,40240.00418
2021-04-26 06:00:00,241.86,244.18,240.81,242.07,62325.1316
2021-04-26 07:00:00,242.05,242.58,238.86,241.21,47368.48341
2021-04-26 08:00:00,241.2,242.11,238.23,238.88,37981.2916
2021-04-26 09:00:00,238.89,244.59,236.63,243.5,54239.56571
2021-04-26 10:00:00,243.51,245.4,242.26,242.62,45360.90549
2021-04-26 11:00:00,242.73,246.0,242.71,243.95,61854.37368
2021-04-26 12:00:00,243.97,245.5,240.59,240.65,58868.72274
2021-04-26 13:00:00,240.65,244.77,239.94,242.03,50223.1715
2021-04-26 14:00:00,242.02,242.86,240.39,241.22,32051.84292
2021-04-26 15:00:00,241.26,245.0,240.0,243.39,42651.38731
2021-04-26 16:00:00,243.4,245.3,238.78,244.2,65135.13625
2021-04-26 17:00:00,244.21,248.2,244.1,246.98,67469.85303
2021-04-26 18:00:00,246.97,247.68,245.15,246.48,41139.8101
2021-04-26 19:00:00,246.52,246.72,243.48,245.72,36399.37895
2021-04-26 20:00:00,245.73,245.77,240.0,240.04,33756.86725
2021-04-26 21:00:00,240.06,242.49,237.25,242.06,44413.92222
2021-04-26 22:00:00,242.05,245.23,238.98,242.35,47243.2052
2021-04-26 23:00:00,242.35,247.72,241.73,247.42,39993.27056
2021-04-27 00:00:00,247.4,249.41,243.63,244.67,45442.88688
2021-04-27 01:00:00,244.7,250.52,244.45,249.45,49590.43179
2021-04-27 02:00:00,249.39,251.85,249.0,249.78,42888.78577
2021-04-27 03:00:00,249.78,250.42,246.24,248.02,33446.05922
2021-04-27 04:00:00,248.04,249.63,246.16,247.8,37243.94366
2021-04-27 05:00:00,247.8,251.02,247.37,250.58,30273.79442
2021-04-27 06:00:00,250.58,254.99,250.51,254.43,55593.94082
2021-04-27 07:00:00,254.44,255.0,250.5,252.1,37153.57763
2021-04-27 08:00:00,252.13,254.42,250.65,250.82,44288.54925
2021-04-27 09:00:00,250.85,253.5,250.56,251.96,45544.95718
2021-04-27 10:00:00,251.95,255.87,251.54,255.63,36321.03199
2021-04-27 11:00:00,255.63,258.72,254.64,257.02,65867.12755
2021-04-27 12:00:00,257.03,259.0,253.69,254.12,56577.02073
2021-04-27 13:00:00,254.1,255.73,249.75,251.54,79100.83904
2021-04-27 14:00:00,251.56,257.7,248.0,256.88,78488.76201
2021-04-27 15:00:00,256.82,258.09,253.8,257.57,42999.73933
2021-04-27 16:00:00,257.53,263.15,255.1,256.5,109889.67773
2021-04-27 17:00:00,256.5,259.42,254.74,258.53,43610.39524
2021-04-27 18:00:00,258.54,260.0,255.94,258.12,28786.06928
2021-04-27 19:00:00,258.11,258.67,254.85,257.07,29397.28975
2021-04-27 20:00:00,257.12,261.05,256.92,260.13,29941.09953
2021-04-27 21:00:00,260.11,262.22,258.09,261.84,26550.00211
2021-04-27 22:00:00,261.8,262.21,257.69,258.81,36444.38284
2021-04-27 23:00:00,258.79,260.37,257.37,259.77,28742.32873
2021-04-28 00:00:00,259.77,264.63,259.71,263.66,43577.65702
2021-04-28 01:00:00,263.68,266.94,262.84,265.07,51010.21309
2021-04-28 02:00:00,264.98,265.07,260.13,260.33,38723.85254
2021-04-28 03:00:00,260.23,261.71,254.97,255.2,71693.38411
2021-04-28 04:00:00,255.2,257.92,253.55,254.47,44218.41581
2021-04-28 05:00:00,254.48,256.23,251.31,253.97,45396.56564
2021-04-28 06:00:00,253.97,254.15,247.58,251.72,80291.86445
2021-04-28 07:00:00,251.68,255.58,250.6,253.9,44982.26786
2021-04-28 08:00:00,253.87,255.92,251.08,251.1,32469.02321
2021-04-28 09:00:00,251.07,254.0,248.8,252.13,47464.11211
2021-04-28 10:00:00,252.04,254.89,250.97,254.29,27483.70852
2021-04-28 11:00:00,254.29,258.09,254.1,255.78,51721.22773
2021-04-28 12:00:00,255.76,259.0,255.0,257.26,34180.40432
2021-04-28 13:00:00,257.21,257.49,252.89,256.3,41977.09437
2021-04-28 14:00:00,256.3,257.8,253.19,253.79,35463.86131
2021-04-28 15:00:00,253.85,254.76,250.0,251.83,39691.07725
2021-04-28 16:00:00,251.92,254.86,250.8,254.2,34257.49531
2021-04-28 17:00:00,254.26,255.22,252.7,253.83,16086.20159
2021-04-28 18:00:00,253.87,256.73,253.3,256.05,23775.63088
2021-04-28 19:00:00,256.08,258.41,255.05,258.03,24810.46014
2021-04-28 20:00:00,258.03,260.19,251.5,252.7,99494.93645
2021-04-28 21:00:00,252.56,256.34,251.5,255.88,22759.0309
2021-04-28 22:00:00,255.92,258.5,254.23,256.28,34468.14405
2021-04-28 23:00:00,256.32,259.66,255.53,258.51,28041.80868
2021-04-29 00:00:00,258.5,259.47,255.1,255.5,33778.71634
2021-04-29 01:00:00,255.51,256.55,253.53,255.97,29709.15481
2021-04-29 02:00:00,255.99,257.45,253.5,255.62,27714.48724
2021-04-29 03:00:00,255.62,256.59,252.8,253.95,28059.71654
2021-04-29 04:00:00,253.92,253.95,250.26,251.22,45068.24783
2021-04-29 05:00:00,251.21,256.94,250.88,255.86,33520.20711
2021-04-29 06:00:00,255.98,257.99,254.37,255.22,37560.27472
2021-04-29 07:00:00,255.27,256.0,254.69,256.0,21934.78354
2021-04-29 08:00:00,256.0,257.16,253.46,254.01,29146.23188
2021-04-29 09:00:00,254.03,258.87,253.3,257.37,42338.26979
2021-04-29 10:00:00,257.4,258.96,257.0,257.71,37328.35053
2021-04-29 11:00:00,257.73,259.18,256.67,258.19,40697.63345
2021-04-29 12:00:00,258.19,262.89,257.63,261.43,57971.30344
2021-04-29 13:00:00,261.42,262.12,254.65,254.74,72244.35311
2021-04-29 14:00:00,254.75,257.46,254.0,255.34,37928.98576
2021-04-29 15:00:00,255.31,257.95,253.51,255.86,30872.28227
2021-04-29 16:00:00,255.87,257.07,251.14,251.22,47181.19482
2021-04-29 17:00:00,251.26,253.55,250.0,250.7,56828.17294
2021-04-29 18:00:00,250.73,252.99,249.11,252.45,47391.79812
2021-04-29 19:00:00,252.44,253.76,251.24,252.14,21128.21303
2021-04-29 20:00:00,252.16,253.73,248.16,250.73,37171.18115
2021-04-29 21:00:00,250.75,253.63,249.85,253.22,19197.47303
2021-04-29 22:00:00,253.27,254.82,253.06,254.19,21562.52906
2021-04-29 23:00:00,254.22,255.91,253.96,255.31,21225.22479
2021-04-30 00:00:00,255.31,256.06,252.64,253.32,40373.96212
2021-04-30 01:00:00,253.34,257.5,252.61,257.45,33188.15524
2021-04-30 02:00:00,257.44,258.23,255.57,256.61,33943.56895
2021-04-30 03:00:00,256.56,260.01,256.01,259.87,32653.11513
2021-04-30 04:00:00,259.93,262.13,259.47,261.39,64959.48835
2021-04-30 05:00:00,261.45,263.1,260.53,262.87,48088.38683
2021-04-30 06:00:00,262.95,266.36,262.74,266.25,50669.16454
2021-04-30 07:00:00,266.25,267.96,263.8,264.73,62165.53864
2021-04-30 08:00:00,264.73,265.95,263.19,265.03,34783.7319
2021-04-30 09:00:00,265.04,266.88,262.96,263.06,49776.32796
2021-04-30 10:00:00,263.05,264.25,261.03,261.52,32025.51997
2021-04-30 11:00:00,261.54,263.33,259.8,261.0,59050.07065
2021-04-30 12:00:00,260.97,265.93,260.33,265.49,48372.02138
2021-04-30 13:00:00,265.53,268.71,263.45,268.69,54061.09463
2021-04-30 14:00:00,268.69,270.0,265.99,267.07,76593.92976
2021-04-30 15:00:00,267.02,269.93,266.5,268.59,55418.66638
2021-04-30 16:00:00,268.56,270.8,267.15,267.88,58513.72027
2021-04-30 17:00:00,267.96,268.12,265.14,266.24,32227.09218
2021-04-30 18:00:00,266.25,267.2,265.18,266.92,23047.77551
2021-04-30 19:00:00,266.91,268.48,266.79,267.94,20105.51809
2021-04-30 20:00:00,267.98,267.98,264.24,266.26,34498.00565
2021-04-30 21:00:00,266.28,268.0,264.96,267.19,16217.86645
2021-04-30 22:00:00,267.19,270.2,266.87,268.93,29466.01975
2021-04-30 23:00:00,268.95,273.58,268.74,271.13,47549.95592
2021-05-01 00:00:00,271.14,273.48,270.33,270.77,45851.76192
2021-05-01 01:00:00,270.77,272.5,268.04,270.72,39442.098
2021-05-01 02:00:00,270.75,274.26,270.23,272.93,48681.47961
2021-05-01 03:00:00,273.01,274.9,272.81,274.16,23743.3593
2021-05-01 04:00:00,274.18,274.5,270.91,272.34,38183.69179
